date,query,user,label,tweet
"Oct 21, 2023 · 11:46 PM UTC",#hamasterrorists,@0helali0,2,"A message for #Gaza:🇸🇩  The world won't sympathize with you Unlike Ukraine, you're not of the white race and don't have blue eyes   May GOD be with you #IsraelTerorrist #palestine #GazaHospital #Gazabombing #Israel_under_attack #Israel #HamasTerrorists #ดาวหางฮัลเลย์ #غزة_تستغيث"
"Oct 14, 2023 · 11:56 PM UTC",#palestine,@Lll172685917351,0,"🇵🇸 #Palestine || Whist recording a report, a Palestinian journalist found a child under the rubble of his family home shop that destroyed by Israeli air strikes and refuses to leave the place in Khan Younis. 14.10.23"
"Oct 7, 2023 · 11:58 PM UTC",#freepalestine,@mosivcnpamn,2,#FreePalestine. #PalestinaLibre.
"Oct 8, 2023 · 8:33 AM UTC",#stopisrael,@ubipatel2,2,What about when all the things mentioned above were done to Palestinians. Women children the old and needy where were you then #FreePalestine #stopisrael
"Oct 13, 2023 · 4:57 PM UTC",#isupportisrael,@TwibroOfficial,0,"I request all cricket fans who've booked #INDvsPAK tickets, Please carry Israel flag with you n display it at stadium to show our support...🙏  #IndiaVsPakistan #INDvsPAK #WorldCup2023 #ISupportIsrael #IndiaStandsWithIsrael"
"Oct 19, 2023 · 8:31 AM UTC",#stopisrael,@URdeadHopes,2,There is no difference between this and the holocaust. It's the same scene. #stopisrael
"Oct 26, 2023 · 11:04 PM UTC",#standwithpalestine,@f_smahi,2,#StandWithPalestine
"Oct 7, 2023 · 11:50 PM UTC",#hamasterrorists,@rpourhabib,0,You are so uninformed that you don't realize the extent to which the Islamic Republic of Iran and the IRGC are supporting terrorism with these funds. #IraniansStandWithIsrael #PalestinianTerrorists #HamasTerrorists #IsrealUnderAttack
"Oct 23, 2023 · 11:59 PM UTC",#israel,@beach_082023,0,All the $ sent went to weapons  not #infrastructure for #Palestinians. #Israel provided for them & they killed them.  #eliminateHamas who do you stand for? Hamas or Palestinians?
"Oct 16, 2023 · 11:19 PM UTC",#israel,@JKTastor,0,#IronDome is yesterday Today #IronBeam of #Israel first time in action‼️👀 So what now⁉️
"Oct 14, 2023 · 11:00 PM UTC",#israelunderattack,@techjunkiejh,0,Scoop: Iran warns Israel through UN against ground offensive in Gaza https://www.axios.com/2023/10/14/iran-warning-israel-hezbollah-hamas-war-gaza #MiddleEast #ModernWarfare #geopolitics #Israel #IsraelUnderAttack #Hamas
"Oct 15, 2023 · 11:52 PM UTC",#palestine,@bethech66063495,2,I have never been so ashamed to call myself #Canadian The Federal Government of Canada 🇨🇦endorses the #genocide of #Palestine 🇵🇸 45+ families have already been lost forever. Israel has a far right government with self described Fascists in it.  https://www.haaretz.com/israel-news/2023-01-16/ty-article/.premium/israels-far-right-finance-minister-im-a-fascist-homophobe-but-i-wont-stone-gays/00000185-b921-de59-a98f-ff7f47c70000
"Oct 15, 2023 · 11:56 PM UTC",#freepalestine,@usertomee,2,#FreePalestine ✊🏻
"Oct 23, 2023 · 10:18 PM UTC",#standwithpalestine,@nurdan_duzenli,0,#GenocideSupporters #BABYKİLLER #StandWithPalestine
"Oct 25, 2023 · 11:51 PM UTC",#standwithisrael,@billabt,0,May their memory be a blessing.  #BringThemHomeNow #StandWithIsrael
"Oct 16, 2023 · 9:12 PM UTC",#indiastandswithisrael,@thenationalistz,2,This is how Arab countries and other Islamic countries save Palestinian Muslims.  They fight not for Muslims but for the ambitions of their country. Their hypocrisy. #Israel #IsrealPalestineWar #PalestineTerrorists #HamasTerrorist #IsraelUnderAttack #IndiaStandsWithIsrael
"Oct 14, 2023 · 11:55 PM UTC",#freepalestine,@Omega247omega,2,#FreePalestine
"Oct 16, 2023 · 4:09 PM UTC",#isupportisrael,@Bakrijeetm93148,0,My name is katuajeet from uganda  #ISupportIsrael
"Oct 8, 2023 · 11:41 PM UTC",#standwithisrael,@ThomasHemb20376,0,#HamasTerrorism #StandWithIsrael
"Oct 18, 2023 · 11:16 PM UTC",#standwithisrael,@mahusef,0,"Feed them, then kill them. #Biden is an accomplice in killing innocent people  #StandWithIsrael"
"Oct 13, 2023 · 5:32 PM UTC",#isupportisrael,@Buzzman3232,0,Supporting the savage will only get you killed because the savage does not care. #ISupportIsrael
"Oct 9, 2023 · 11:32 PM UTC",#israelunderattack,@100rabhsingh781,0,"Israel is at War🥵 But though Israel didn’t start this war, Israel will finish it: Benjamin Netanyahu Hamas | Palestinian | Gaza | Palestine #Israel #IsraelUnderAttack #Palestinian #IsraelPalestineWar #Palestine #Gaza #Hamas #hamasattack"
"Oct 9, 2023 · 11:46 PM UTC",#standwithisrael,@anthonymcng,0,"Another “analysis” on Twitter World, assuming that they know better than Israel Gov. & somehow Netanyahu is responsible for this brutal attack….  #StandWithIsrael 🇮🇱"
"Oct 8, 2023 · 10:06 PM UTC",#standwithpalestine,@Shaikh14k,2,#standwithPalestine  Long live 🇵🇸🇵🇸🇵🇸
"Oct 8, 2023 · 11:52 PM UTC",#hamasattack,@xdailyfacts,1,Israeli rescue service ‘Zaka’ claimed that 260 bodies were found near the music festival that came under attack from Hamas militants early in the escalation.  #Israel #hamasattack #GazaUnderAttack #IsraelUnderAttack #Palestine #Gaza #Israel_under_attack #IsraelPalestineWar
"Oct 26, 2023 · 11:59 PM UTC",#freepalestine,@ursala_yacoob,2,"Stop Israel’s atrocities, genocide massacring innocent civilians. Entire generations of families are being wiped out. Barbaric. #StopGenocide #EndApartheid #Gaza #FreePalestine #FreePalestineFormZionistOccupation 💯🇵🇸🇵🇸🇵🇸🇵🇸"
"Oct 26, 2023 · 4:30 PM UTC",#indiastandswithpalestine,@MdFaisalAnsari_,2,Ameen #IndiaStandsWithPalestine
"Oct 15, 2023 · 11:56 PM UTC",#freepalestine,@KinanSimreen,2,Free Palestine 🇵🇸✌🏼  #FreePalestine #Gaza_Genocide #IsraelTerrorists #IsraelPalestineConflict #IsrealPalestineconflict #PalestineGenocide
"Oct 7, 2023 · 11:59 PM UTC",#israel,@XtraInsight,1,"Israel to create closed military zone in Gaza Strip, according to government press service. #Israel #Gaza"
"Oct 7, 2023 · 10:27 PM UTC",#standwithpalestine,@Rodzimowierca_,2,There one right option Palestine🇵🇸 #FreePalestine #standwithPalestine
"Oct 11, 2023 · 7:31 PM UTC",#isupportisrael,@Eternal_light22,1,"If they want electricity, they can release hostages and handover Hamas! But guess what they will rather let their children die than to betray Hamas!,Israel ,Israelunderattack ,ISupportIsrael ,IStandWithIsrael"
"Oct 12, 2023 · 11:51 PM UTC",#israelunderattack,@TopSupremeMemes,0,#ISIS_HAMAS #IsraelUnderAttack #IsraelFightsBack
"Oct 16, 2023 · 12:30 PM UTC",#isupportpalestine,@humera_wasim,2,"My name is humairawasim  , I am from #Pakistan and #ISupportGaza #ISupportPalestine 🇵🇰🇵🇸"
"Oct 13, 2023 · 11:36 PM UTC",#standwithisrael,@Regnme23,0,"“…why on earth are we here, surely not to live in pain and fear…” John Lennon #standwithIsrael"
"Oct 9, 2023 · 9:53 PM UTC",#indiaiswithisrael,@bunnufree,0,Put an end to this Islamic Caliphate nonsense that has already killed millions and millions of innocent human beings all over the world. #IStandWithIsrael #indiaiswithisrael #BharatIsWithIsrael #IndiaStandswithIsrael
"Oct 26, 2023 · 7:00 PM UTC",#isupportpalestine,@umarfarooque001,2,#ISupportPalestine  I am from India 🇮🇳
"Oct 8, 2023 · 11:52 PM UTC",#hamasattack,@bianconej1,1,US official says four Americans killed in Hamas attack on Israel #Israel #Hamasattack opr.news/353a1e34231008en_us…  Download Now https://opr.as/share
"Oct 15, 2023 · 8:00 PM UTC",#isupportisrael,@Hallslm,0,"There is a big pro Hamas rally in Dallas going on right now. I’m totally disgusted, but not surprised.  #ISupportIsrael"
"Oct 20, 2023 · 6:03 AM UTC",#isupportpalestine,@JessySkaria,2,#GeneralStrike #ISupportPalestine #IStandWithPalestine
"Oct 10, 2023 · 6:05 PM UTC",#indiastandswithpalestine,@MuslimlivMatter,2,Our Ancestors stood with Palestine our leaders supported Palestine resistance. Only worst creatures will support Israel. From River to sea Palestine will be free. Long live Palestine resistance!  #IndiaStandsWithPalestine
"Oct 8, 2023 · 11:34 PM UTC",#hamasterrorists,@RosaEme_,0,#HamasTerrorists
"Oct 7, 2023 · 11:58 PM UTC",#standwithpalestine,@scarlettswiftt,2,I support Palestine btw #standwithPalestine
"Oct 20, 2023 · 10:43 PM UTC",#hamasterrorists,@maybar_durst,0,Im sorry that’s not a war!!! This was a terror attack by #HamasTerrorists War is when 2 sides fight and one will win. This was a terror attack like 9/11
"Oct 7, 2023 · 11:57 PM UTC",#freepalestine,@AbelA82800296,2,#PalestinaLibre #FreePalestine
"Oct 8, 2023 · 11:54 PM UTC",#israelunderattack,@Arsport0,1,Bad luck for India #Israel #gegarvaganza2023 #INDvAUS #อิสราเอล #เก๋ไก๋ #IsraelUnderAttack #FreePalastine #Israel_under_attack
"Oct 26, 2023 · 6:15 PM UTC",#indiastandswithisrael,@AmitLeliSlayer,1,"Respected @ShashiTharoor please do these rallies in Israel along with the rest of Hàmas Terr0rist supporters, anyways you won’t be heard for your false propaganda here in Bharat , take Pappu along with you, we will pray for you😂  #IndiaStandsWithIsrael 🇮🇱"
"Oct 17, 2023 · 9:22 PM UTC",#hamasattack,@Brattalk1,0,"You are a third rate Jih@di b!tch, who believes that you can set a narrative.  This is clearly a Rocket strike & not an Airstrike. Stop fooling the UK  #IStandWithIsrael #hamasattack #Is"
"Oct 15, 2023 · 11:53 PM UTC",#palestine,@mt_sha256,0,Mr. President @JoeBiden @POTUS   Inciting hatred and discrimination is a crime.   Palestinian-American boy stabbed to death in Gaza war-related killing in Chicago  There should be no double standards when it comes to determining victims and aggressors!!  #Gaza #Ireland #Palestine
"Oct 11, 2023 · 11:57 PM UTC",#israel,@ShehxadGulHasen,2,Palaestenian ambulance driver broke in tears after shifting dozens of bodies ! #GhazaUnderAttack #palastine #Israel #IsraelTerrorists
"Oct 13, 2023 · 11:51 PM UTC",#israelpalestinewar,@Fatima72816126,2,#IsraelPalestineConflict #FreeGaza #FreePalestine #Every_Palestinian_is_oppressed #Palestine #Gazagenocide #Gazagenocide #IsraelFightsBack #IsraeliWarCrimes #IsraelPalestineWar
"Oct 7, 2023 · 11:53 PM UTC",#standwithisrael,@Niko_Capone_,0,#StandWithIsrael #IraniansStandsWithIsrael #IranRevolution
"Oct 8, 2023 · 11:58 PM UTC",#israel,@News1Upfront,0,Hamas accusing the US of 'agression' towards the Palestinian people after the US announced it will be sending 'multiple warships' closer to Israel in a show of support.  #Hamas #Israel #Palestine #IsraelPalestine #PalestineIsraelwar
"Oct 22, 2023 · 7:26 PM UTC",#indiastandswithisrael,@Siddhar07262295,0,#indiastandswithisrael
"Oct 26, 2023 · 9:23 PM UTC",#israel,@DavidS_Liberdad,1,English version for easier viewing! Thanks for sharing Https://english.aawsat.com/o…
"Oct 16, 2023 · 11:51 PM UTC",#hamas,@MollyMicha30540,1,You forgot the #hamas on that post.
"Oct 7, 2023 · 9:51 AM UTC",#stopisrael,@asotrax,2,We support #Palestine!!! #stopisrael
"Oct 21, 2023 · 10:59 PM UTC",#standwithisrael,@suzanne2222,0,The difference between civilized people and those intent on murder and mayhem #StandWithIsrael
"Oct 14, 2023 · 11:58 PM UTC",#palestine,@RapeIsNoJoke,0,"Past 24 hours, 360 Gazans have been killed including over 80 children according to hospital workers in Gaza. “That number is the latest however it may be higher if unreported deaths are counted from the yet unexplored rubble” #gaza #palestine https://rinj.press/fpm2023/october/no-water-or-food-left-in-gaza-death-toll-above-2400/"
"Oct 24, 2023 · 11:52 PM UTC",#hamasterrorists,@Papi_kid98,1,"#BREAKING: Clashes between Israeli security forces and Palestinians in Jenin, the West Bank #Israel #Gaza_Genocide #Hamas #Gazabombing #Palestine #HamasTerrorists #Gaza"
"Oct 11, 2023 · 11:48 PM UTC",#israelpalestinewar,@HebaAshraf83,0,#Gaza #GazaUnderAttack #palastine #IsraelPalestineConflict #IsraelPalestineWar
"Oct 9, 2023 · 6:45 PM UTC",#isupportisrael,@Ashu21705919,0,#ISupportIsrael
"Oct 10, 2023 · 7:09 PM UTC",#indiastandswithpalestine,@JawedKhan231366,2,#IndiaStandsWithPalestine
"Oct 8, 2023 · 11:55 PM UTC",#palestine,@tawfiqtibo,0,"The playbook that GW Bush employed after the false flag operation of 9/11, using lies about #WMDs, seems eerily similar to the one @netanyahu is using to justify an attack on #PALESTINE. Just as millions of #Iraqis suffered, i fear for the fate of #Palestinians. #FreePalastine 🇵🇸"
"Oct 21, 2023 · 11:32 PM UTC",#hamasattack,@Dr_MaytalM,0,#HamasisISIS #TheRealImage #Gaza #StandAgainstTerror #StandWithIsrael #HamasTerrorists #HamasAtrocities #hamasattack
"Oct 26, 2023 · 7:04 PM UTC",#stophamas,@JPEGreg,0,#StopHamas
"Oct 7, 2023 · 11:54 PM UTC",#palestine,@fabihakamran1,2,The biggest terrorist in the world#Israel #Palestine #Hamasisrael  #hamas TelAviv WeStandWithPalestine SupportPalestine SupportGaza
"Oct 15, 2023 · 10:41 PM UTC",#standwithpalestine,@xxpersi,2,unbelievable! 🤮 #StandWithPalestine you either stand with palestine or you stand with genocide.
"Oct 9, 2023 · 11:56 PM UTC",#hamasterrorists,@THE_SQUADR0N,0,"Nearly 140,000 people have fled their homes because of the escalating Palestinian-Israeli conflict, shelters are 90% full  Please Follow @THE_SQUADR0N For Latest Updates  #Israel_under_attack #IsraelPalestineWar #Israel #HamasTerrorists #HamasTerrorism #Hamas #Gaza"
"Oct 9, 2023 · 11:56 PM UTC",#hamas,@roselugonews,1,#war #israel #iran #hamas #Catholic #News #RoseLugoNews
"Oct 12, 2023 · 11:18 PM UTC",#israelunderattack,@Jimbo679,2,And how much will be directed to #Hamas #Terrorists like much of the previous money we've sent has been?  #GIJoly was recently asked about something similar and would not answer.   #cdnpoli #IsraelUnderAttack
"Oct 19, 2023 · 3:14 PM UTC",#stophamas,@ZyroFlux,0,Hamas is a terrorist organization that prioritizes violence over peace. Their actions perpetuate suffering and hinder the progress towards a peaceful resolution. #StopHamas #PeaceNeeded #EndTerrorism 🕊️
"Oct 8, 2023 · 2:26 PM UTC",#indiaiswithisrael,@DhimanViswas,0,Hamas Sleeper cells r activated in India.  This war against Hamas not with the Palestinian people.  Hamas started the barbaric act against Israeli civilians.They have to pay price for it. The place will be turn into dust where the Hamas can get shelter. #IndiaIsWithIsrael
"Oct 10, 2023 · 11:28 PM UTC",#standwithisrael,@stephensacks,0,Now is an even worse time to support Islamic terrorism. Pls do not buy @lushcosmetics cosmetics. #StandWithIsrael thejc.com/news/news/anger-at… via @JewishChron
"Oct 8, 2023 · 9:02 PM UTC",#isupportisrael,@ketan_patil87,0,#ISupportIsrael Burn down Gaza!! #ISupportIsrael Burn down Gaza!!
"Oct 18, 2023 · 11:10 PM UTC",#standwithpalestine,@Hamzaboss31,2,#StandWithPalestine
"Oct 15, 2023 · 11:23 PM UTC",#israelunderattack,@TopSupremeMemes,2,Shame on @SkyNews Your kindness towards #ISIS_HAMAS will be recorded in history forever. This all stems from Jew Hatred.  #NeverAgain #NeverAgainIsNow #israel #IsraelUnderAttack #IsraelFightsBack #JewishLivesMatter https://piped.video/ewLx9XN8sLc
"Oct 24, 2023 · 11:57 PM UTC",#freepalestine,@vulpecxla,2,From Renchin for Palestine🙏🏻  #FreePalestine #RenchinWithPalestine
"Oct 21, 2023 · 11:57 PM UTC",#israel,@cross_flag,1,"""#Immigration? ""#Multiculturalism""? Stretching deep into the nineteenth century, since my father was born in 1922, all 16 of my great-great-grandparents were British. Your move."" #Gaza #Palestine #Israel https://davidaslindsay.blogspot.com/2023/10/indigenous-voice.html?spref=tw"
"Oct 18, 2023 · 9:40 PM UTC",#isupportisrael,@1ShawnLuman,0,Well that’s a no brained.  Do you really have to ask??  it’s not the one that values life. #ISupportIsrael
"Oct 21, 2023 · 9:44 PM UTC",#stopisrael,@anobiss6,0,#StopIsrael #LetGazaBabiesLive
"Oct 18, 2023 · 11:57 PM UTC",#hamas,@vintaaz,1,#America The United States announced sanctions against 10 major #Hamas operatives and financial institutions. #CCTV #China #BreakingNews
"Oct 15, 2023 · 5:02 PM UTC",#indiastandswithpalestine,@Darse_karbala,2,A Mumbai Elder’s Lone Vigil: Championing Palestinian Rights with Unyielding Courage https://english.almanar.com.lb/1935298?s=tg #غزة_تزحف_الى_القدس #غزة_الآن #PalestineGenocide #Gaza #IndiaStandsWithPalestine
"Oct 18, 2023 · 2:19 PM UTC",#isupportpalestine,@NourrMohsen,2,#NewProfilePic #ISupportPalestine
"Oct 8, 2023 · 11:50 PM UTC",#hamasterrorists,@Samster3,0,U r right….  We should listen to Mia Khalifa instead….    Or:::::  We can watch the barbarity displayed by #HamasTerrorists the other day & decide for ourselves.   #IStandWithIsrael
"Oct 16, 2023 · 2:25 PM UTC",#indiastandswithpalestine,@dertanveer,2,"People at MG Road, Bangalore continue to stand with #Palestine despite facing police detention.  #IndiaStandsWithPalestine #FreePalestine #IsraelTerrorists #Gazagenocide"
"Oct 17, 2023 · 11:59 PM UTC",#hamas,@wrenaissanceman,0,Why don't you direct your complaints to #Hamas. Tell these #terrorists to release the hostages and Israel will stop the blockade. You seem to ignore the realities based upon your anti-Israel prejudice.
"Oct 13, 2023 · 10:32 PM UTC",#hamasattack,@NanStephens19,0,Israel at War - Extraction and Exodus #hamasattack #gazaunderattack #isr... https://piped.video/EjWH2FeAxYQ?si=ddnTus_5_bnKi6zz via @YouTube
"Oct 8, 2023 · 9:00 PM UTC",#indiastandswithisrael,@InsightsView,0,Hamas =  ISIS  We stand with Israel 💔💔💔💔  #Israel #Hamas #Israel_under_attack #IsraelPalestineWar #Palestine #world #PrayForIsrael #IndiaWithIsrael #IndiaStandWithIsrael #IndiaStandsWithIsrael #War #Ukraine #Russia #Slovakia #Slovenia #Czech #USA
"Oct 18, 2023 · 10:41 PM UTC",#israelunderattack,@yhdyth,2,"#HamasChatAILies #ParkingLot #WhereArethe500? #IsraelUnderAttack #HamasPropaganda ""The doctors say the head of the hospital receive a call yesterday from the Israeli Military saying ""we warned you to evacuate twice.""  Hamas is getting very good at this. Maybe they got that statement from #ChatAI. It's certainly been programmed to say these things.  Now the question is, is that where the NYTimes and the rest of the MSM got their articles/posts from? Cause it certainly wasn't through journalism."
"Oct 18, 2023 · 11:50 PM UTC",#hamasterrorists,@Jimbo679,0,So you're condemning palestinian terrorist groups for doing this? Glad you've finally the light. #HamasTerrorists
"Oct 19, 2023 · 11:55 PM UTC",#hamasterrorists,@Lonelyaaliya,0,"So sad…Jewish community have always been the hated ones..The holocaust proves that, Palestinians have Always hated them.🤦‍♀️ #HamasTerrorists #PalestineTerrorists"
"Oct 15, 2023 · 2:40 PM UTC",#indiastandswithpalestine,@atherkh,2,#Gazagenocide #StopGazaNakba #IsraelWarCrimes #ZionismIsNazism #ZionistsAreTheRealTerrorists #IndiaStandsWithPalestine
"Oct 15, 2023 · 11:20 PM UTC",#indiastandswithpalestine,@atherkh,2,50% of Palestinians are kids #Gazagenocide #StopGazaNakba #ZionistsAreTheRealTerrorists #ZionismIsNazism #IndiaStandsWithPalestine
"Oct 15, 2023 · 12:42 PM UTC",#indiastandswithpalestine,@imyunu_s,2,#GazzeUnderAttack #IsraelPalestineConflict #IsraelApartheid #EndOccupation #FreePalestine #IndiaStandsWithPalestine
"Oct 22, 2023 · 11:18 PM UTC",#standwithisrael,@AllisonGuerrier,0,This is why I object to “humanitarian aid” to Gaza. #StandWithIsrael
"Oct 19, 2023 · 8:28 PM UTC",#standwithpalestine,@nanahmadkhan908,2,they are heartless peoples.they don't have a heart .May Allah Protect the innocent children of Palestine And their parents.  #StandWithPalestine #StopGazaGenocide
"Oct 14, 2023 · 11:59 PM UTC",#freepalestine,@queendabss,2,"They don’t want anyone to see us as humans, people are being fired and blacklisted just for standing up for Palestine. We are watching a genocide happen in front of our faces in 2023, what is the actual fuck is wrong with y’all. #freepalestine"
"Oct 19, 2023 · 11:56 PM UTC",#hamas,@BradLubken,0,The #Palestinians don't have the hostages... #Hamas does. #Ignorance
"Oct 8, 2023 · 10:27 PM UTC",#stopisrael,@QuirkyProps,2,Go for it #FreePalastine #PalestineUnderAttack #Palestine #StopNetanyahu #StopIsrael #stopfascism
"Oct 8, 2023 · 11:42 PM UTC",#standwithisrael,@BenGiLaser,0,@IsraeliPM #StandwithIsrael #TurnGazaToDust
"Oct 21, 2023 · 2:05 PM UTC",#israelpalestinewar,@A_Abdelrahman0,1,"17-Settlers assault a Palestinian videographer, Hebron, May 2016"
"Oct 13, 2023 · 11:55 PM UTC",#freepalestine,@Balbader1,2,#Gazagenocide #Every_Palestinian_is_oppressed #FreeGaza #FreePalestine #isrealterrorists
"Oct 13, 2023 · 9:01 PM UTC",#indiastandswithisrael,@IdhaRehman,0,"Its 2:30 am here, all are sleeping except for some insomniacs like me! #IndiaStandsWithIsrael #PKMKB #india 🇮🇳❤️🇮🇱"
"Oct 16, 2023 · 7:38 AM UTC",#indiastandswithpalestine,@FizzaRizvi92,2,don't worry... just wait and watch..... #Iran #Palestine #Israel #IndiaStandsWithPalestine
"Oct 21, 2023 · 10:29 AM UTC",#isupportisrael,@RonitAg17942197,0,"Iske liye bhi Hamas hi responsible he, agar usne war start nahi Kia hota to dono side ke logon ko ye jhelna nahi padta. Ese terrorist organisation poore tareeke se khatm hone chaiye #ISupportIsrael #HamasTerrorists"
"Oct 15, 2023 · 10:34 PM UTC",#standwithpalestine,@_cosatu,2,"Polokwane, Limpopo Hundreds of citizens demonstrated in Solidarity with the people of #Palestine at Polokwane @CapricornFMNews The peoples of the world #StandWithPalestine @OnlinePalEng @OnlinePalEng"
"Oct 8, 2023 · 8:39 AM UTC",#indiaiswithisrael,@imme000009,0,"We don’t want you to prevail. We want you to kick Hamas terrorists ass so hard, it stays red for ever. We want Israel to decimate these terrorists and their support. Power to Israel. #IndiaIsWithIsrael #hamasattack"
"Oct 12, 2023 · 11:57 PM UTC",#freepalestine,@sarahwahbeh032,2,#FreePalestine  There is a difference. Think about it.. self defense on your own home under imminent threat vs. assaulting under no threat @zyazigi 👏
"Oct 25, 2023 · 9:41 PM UTC",#israelunderattack,@Masrygedn1010,0,#Israel_under_attack #Israelunderattack #Israel and #israli is the only victim in history
"Oct 15, 2023 · 11:56 PM UTC",#freepalestine,@HammadA38055709,2,#IsraelTerrorists🖕🖕  #FreePalestine 🇵🇸🇵🇸
"Oct 23, 2023 · 4:31 PM UTC",#stophamas,@YoungMovesMedia,0,"Hamas is a terrorist organisation, we do not support it.  #HamasTerrorists #StopHamas #Palestine #Gaza_Genocide #HamasISIS"
"Oct 16, 2023 · 5:33 PM UTC",#indiaiswithisrael,@Prateek_Yoga,0,Eliminate very seeds of these bloody terrorists in a very gruesome manner. #IndiaIsWithIsrael 🇮🇳🇮🇱
"Oct 15, 2023 · 10:58 PM UTC",#standwithpalestine,@TheLlamaFiles,2,Washington doesn't speak for me. #StandWithPalestine
